30,6250217507,CoreBridge Life 90%,72.53,1,74.00,53.67,53.67,Agent,,
31,7240112385,CoreBridge Life 137%,5.50,1,41.00,2.26,2.26,Agency,,
31,7240112385,CoreBridge Life 137%,5.50,1,4.00,0.22,0.22,Sales Leader,,
31,7240112385,CoreBridge Life 137%,5.50,1,55.00,3.03,3.03,Agent,,
32,7250081390,CoreBridge Life 137%,5.52,1,41.00,2.26,2.26,Agency,,
32,7250081390,CoreBridge Life 137%,5.52,1,4.00,0.22,0.22,Sales Leader,,
32,7250081390,CoreBridge Life 137%,5.52,1,55.00,3.04,3.04,Agent,,
33,6260101280,CoreBridge Life 90%,201.83,1,22.00,44.40,44.40,Agency,,
33,6260101280,CoreBridge Life 90%,201.83,1,4.00,8.07,8.07,Sales Leader,,
33,6260101280,CoreBridge Life 90%,201.83,1,74.00,149.35,149.35,Agent,,
34,7260017569,CoreBridge Life 137%,173.89,1,22.00,38.26,38.26,Agency,,
34,7260017569,CoreBridge Life 137%,173.89,1,4.00,6.96,6.96,Sales Leader,,
34,7260017569,CoreBridge Life 137%,173.89,1,74.00,128.68,128.68,Agent,,
35,7260076103,CoreBridge Life 137%,199.03,1,28.50,56.72,56.72,Agency,,
35,7260076103,CoreBridge Life 137%,199.03,1,6.50,12.94,12.94,Sales Leader,,
35,7260076103,CoreBridge Life 137%,199.03,1,65.00,129.37,129.37,Agent,,
36,7240121167,CoreBridge Life 137%,5.91,1,41.00,2.42,2.42,Agency,,
36,7240121167,CoreBridge Life 137%,5.91,1,4.00,0.24,0.24,Sales Leader,,
36,7240121167,CoreBridge Life 137%,5.91,1,55.00,3.25,3.25,Agent,,
37,7260053777,CoreBridge Life 137%,145.54,1,22.00,32.02,32.02,Agency,,
37,7260053777,CoreBridge Life 137%,145.54,1,4.00,5.82,5.82,Sales Leader,,
37,7260053777,CoreBridge Life 137%,145.54,1,74.00,107.70,107.70,Agent,,
38,7250266530,CoreBridge Life 137%,134.42,1,23.50,31.59,31.59,Agency,,
38,7250266530,CoreBridge Life 137%,134.42,1,4.00,5.38,5.38,Sales Leader,,
38,7250266530,CoreBridge Life 137%,134.42,1,72.50,97.45,97.45,Agent,,
39,7250257861,CoreBridge Life 94.50%,99.23,1,22.00,21.83,21.83,Agency,,
39,7250257861,CoreBridge Life 94.50%,99.23,1,4.00,3.97,3.97,Sales Leader,,
39,7250257861,CoreBridge Life 94.50%,99.23,1,74.00,73.43,73.43,Agent,,
