LineItem,policyName,ProductName,GrossCommission,TotalMembers,split-percentage,value,value x TotalMembers,Role,commission-from-report,result
47,7260139869,CoreBridge Life 137%,145.95,1,4.00,5.84,5.84,Sales Leader,5.84,TRUE
47,7260139869,CoreBridge Life 137%,145.95,1,74.00,108.00,108.00,Agent,108.00,TRUE
48,7260010909,CoreBridge Life 137%,197.64,1,22.00,43.48,43.48,Agency,43.48,TRUE
48,7260010909,CoreBridge Life 137%,197.64,1,4.00,7.91,7.91,Sales Leader,7.91,TRUE
48,7260010909,CoreBridge Life 137%,197.64,1,74.00,146.25,146.25,Agent,146.25,TRUE
49,7250043503,CoreBridge Life 137%,7.51,1,41.00,3.08,3.08,Agency,3.08,TRUE
49,7250043503,CoreBridge Life 137%,7.51,1,4.00,0.30,0.30,Sales Leader,0.30,TRUE
49,7250043503,CoreBridge Life 137%,7.51,1,55.00,4.13,4.13,Agent,4.13,TRUE
50,7260095214,CoreBridge Life 137%,135.15,1,22.00,29.73,29.73,Agency,29.73,TRUE
50,7260095214,CoreBridge Life 137%,135.15,1,4.00,5.41,5.41,Sales Leader,5.41,TRUE
50,7260095214,CoreBridge Life 137%,135.15,1,74.00,100.01,100.01,Agent,100.01,TRUE
Summary,150 lines,150 TRUE,0 FALSE,0 skipped,tolerance=0.02,,,,,
